characteristic,sub_characteristic,gap_value,url
utility,accuracy,0,""
utility,effectiveness,0,""
utility,responsiveness,0,""
utility,usability,0,""
economy,cost_effectiveness,0,""
economy,efficiency,0,""
robustness,availability,0,""
robustness,resilience,0,""
robustness,adaptability,0,""
robustness,scalability,0,""
modifiability,maintainability,0,""
modifiability,modularity,0,""
modifiability,testability,0,""
productionizability,repeatability,0,""
productionizability,operability,0,""
productionizability,monitoring,0,""
comprehensibility,discoverability,0,""
comprehensibility,traceability,0,""
comprehensibility,understandability,0,""
responsibility,explainability,0,""
responsibility,fairness,0,""
responsibility,ownership,0,""
responsibility,standards_compliance,0,""
responsibility,vulnerability,0,""
comprehensibility,readability,0,""